C2+  | A | 9903.4600 | 0.697 | -0.784 | 4.205 | 0.720 | 1.000 | A | 1.621
C2+  | A | 4267.1500 | 1.011 | -0.754 | 2.587 | 0.719 | 0.950 | A | 2.795
C2+  | A | 7236.4200 | 1.724 | -0.700 | 1.683 | 0.667 | 0.012 | C | 0.065
C2+  | B | 7236.4200 | 1.724 | -0.700 | 1.683 | 0.667 | 0.950 | C | 5.184
C2+  | A | 6582.8800 | 0.584 | -0.521 | 0.624 | 0.681 | 0.170 | C | 0.329
C2+  | B | 6582.8800 | 2.334 | -0.649 | 0.768 | 0.564 | 0.170 | C | 1.444
C2+  | A | 2837.0000 | 0.584 | -0.521 | 0.624 | 0.681 | 0.313 | C | 0.606
C2+  | B | 2837.0000 | 2.334 | -0.649 | 0.768 | 0.564 | 0.313 | C | 2.658
C2+  | A | 1761.0000 | 0.584 | -0.521 | 0.624 | 0.681 | 0.517 | C | 1.001
C2+  | B | 1761.0000 | 2.334 | -0.649 | 0.768 | 0.564 | 0.517 | C | 4.391
C2+  | A | 1335.0000 | 0.953 | -0.539 | 0.412 | 0.654 | 1.000 | C | 3.450
C2+  | B | 1335.0000 | 1.993 | -0.630 | 0.624 | 0.681 | 1.000 | C | 7.682
