C3+  | A | 8197.0000 | 0.587 | -0.780 | 7.448 | 0.720 | 1.000 | A | 3.862
C3+  | A | 8665.0000 | 0.293 | -0.611 | 4.486 | 0.849 | 0.421 | A | 0.836
C3+  | A | 2726.0000 | 0.293 | -0.611 | 4.486 | 0.849 | 0.574 | A | 1.140
C3+  | A | 4068.9200 | 0.523 | -0.784 | 4.205 | 0.720 | 0.910 | A | 4.288
C3+  | A | 7613.0000 | 0.523 | -0.784 | 4.205 | 0.720 | 0.090 | A | 0.424
C3+  | A | 3888.0000 | 0.359 | -0.572 | 2.795 | 0.827 | 0.119 | A | 0.310
C3+  | A | 1923.0000 | 0.688 | -0.754 | 2.587 | 0.719 | 1.000 | A | 7.058
C3+  | A | 4649.0000 | 0.429 | -0.501 | 0.624 | 0.681 | 0.940 | C | 3.191
C3+  | A | 4647.4200 | 0.429 | -0.501 | 0.624 | 0.681 | 0.522 | C | 1.772
C3+  | A | 4650.2500 | 0.429 | -0.501 | 0.624 | 0.681 | 0.313 | C | 1.063
C3+  | A | 4651.4700 | 0.429 | -0.501 | 0.624 | 0.681 | 0.104 | C | 0.353
C3+  | A | 4186.9000 | 0.174 | -0.784 | 4.205 | 0.720 | 0.980 | A | 1.536
C3+  | A | 2163.0000 | 0.229 | -0.754 | 2.587 | 0.719 | 0.426 | A | 1.001
