N+   | A | 10117.000 | 0.601 | -0.695 | 1.683 | 0.667 | 1.000 | B | 0.224
N+   | A | 10525.000 | 0.393 | -0.697 | 1.683 | 0.667 | 0.724 | C | 0.106
N+   | A | 9829.0000 | 0.393 | -0.697 | 1.683 | 0.667 | 0.276 | C | 0.040
N+   | A | 8692.0000 | 1.254 | -0.624 | 1.683 | 0.667 | 0.957 | C | 0.447
N+   | B | 8692.0000 | 1.293 | -0.620 | 1.683 | 0.667 | 0.957 | C | 0.461
N+   | A | 8213.0000 | 0.624 | -0.602 | 1.683 | 0.667 | 0.760 | C | 0.177
N+   | B | 8213.0000 | 0.733 | -0.616 | 1.683 | 0.667 | 0.760 | C | 0.208
N+   | A | 7452.0000 | 0.047 | -0.489 | 0.624 | 0.681 | 0.964 | C | 0.028
N+   | B | 7452.0000 | 0.233 | -0.466 | 1.683 | 0.667 | 0.964 | C | 0.084
N+   | A | 1200.0000 | 1.437 | -0.664 | 0.768 | 0.564 | 1.000 | C | 0.813
N+   | B | 1200.0000 | 1.644 | -0.651 | 0.768 | 0.564 | 1.000 | C | 0.930
