N2+  | A | 4530.4100 | 0.108 | -0.754 | 2.587 | 0.719 | 0.650 | B | 0.204
N2+  | A | 4026.0800 | 0.108 | -0.754 | 2.587 | 0.719 | 0.350 | B | 0.110
N2+  | A | 4176.1600 | 0.085 | -0.754 | 2.587 | 0.719 | 0.542 | B | 0.134
N2+  | A | 1494.0000 | 0.085 | -0.754 | 2.587 | 0.719 | 0.391 | B | 0.097
N2+  | A | 2232.0000 | 0.059 | -0.754 | 2.587 | 0.719 | 0.653 | B | 0.112
N2+  | A | 4678.1400 | 0.059 | -0.754 | 2.587 | 0.719 | 0.223 | B | 0.038
N2+  | A | 4041.3100 | 0.326 | -0.754 | 2.587 | 0.719 | 0.926 | B | 0.878
N2+  | A | 4552.5300 | 0.326 | -0.754 | 2.587 | 0.719 | 0.074 | B | 0.071
N2+  | A | 4239.0000 | 0.252 | -0.754 | 2.587 | 0.719 | 0.887 | B | 0.650
N2+  | A | 4435.0000 | 0.181 | -0.754 | 2.587 | 0.719 | 0.790 | B | 0.416
N2+  | B | 5479.0000 | 0.288 | -0.714 | 1.683 | 0.667 | 0.256 | B | 0.238
N2+  | B | 5001.0000 | 0.288 | -0.714 | 1.683 | 0.667 | 0.656 | B | 0.610
N2+  | B | 5941.6500 | 0.431 | -0.700 | 1.683 | 0.667 | 0.619 | B | 0.844
N2+  | B | 4794.0000 | 0.431 | -0.700 | 1.683 | 0.667 | 0.381 | B | 0.520
N2+  | A | 5005.0000 | 0.633 | -0.690 | 1.683 | 0.667 | 1.000 | B | 1.976
N2+  | B | 5005.0000 | 0.668 | -0.682 | 1.683 | 0.667 | 1.000 | B | 2.062
N2+  | A | 5679.5600 | 1.200 | -0.615 | 1.683 | 0.667 | 0.337 | B | 1.138
N2+  | B | 5679.5600 | 1.462 | -0.628 | 1.683 | 0.667 | 0.337 | B | 1.411
N2+  | A | 1742.0000 | 3.561 | -0.615 | 1.683 | 0.667 | 0.520 | B | 5.210
N2+  | B | 1742.0000 | 4.340 | -0.628 | 1.683 | 0.667 | 0.520 | B | 6.464
N2+  | A | 1345.0000 | 3.561 | -0.615 | 1.683 | 0.667 | 0.137 | B | 1.372
N2+  | B | 1345.0000 | 4.340 | -0.628 | 1.683 | 0.667 | 0.137 | B | 1.703
