O2+  | A | 4342.0000 | 0.144 | -0.754 | 2.587 | 0.719 | 1.000 | B | 0.419
O2+  | A | 4609.4400 | 0.112 | -0.754 | 2.587 | 0.719 | 0.880 | B | 0.287
O2+  | A | 4488.2000 | 0.080 | -0.754 | 2.587 | 0.719 | 0.074 | B | 0.017
O2+  | A | 4097.2600 | 0.289 | -0.754 | 2.587 | 0.719 | 2.000 | B | 0.841
O2+  | A | 4277.8900 | 0.225 | -0.754 | 2.587 | 0.719 | 0.880 | B | 0.576
O2+  | A | 4051.0000 | 0.225 | -0.754 | 2.587 | 0.719 | 0.120 | B | 0.079
O2+  | A | 4294.9200 | 0.160 | -0.754 | 2.587 | 0.719 | 0.850 | B | 0.396
O2+  | A | 4339.0000 | 0.160 | -0.754 | 2.587 | 0.719 | 0.150 | B | 0.070
O2+  | A | 4075.8600 | 0.601 | -0.695 | 1.683 | 0.667 | 1.000 | B | 1.889
O2+  | A | 4110.7800 | 0.409 | -0.705 | 1.683 | 0.667 | 0.720 | C | 0.939
O2+  | A | 3867.0000 | 0.409 | -0.705 | 1.683 | 0.667 | 0.280 | C | 0.365
O2+  | A | 4153.3000 | 0.226 | -0.679 | 1.683 | 0.667 | 0.616 | C | 0.428
O2+  | A | 4913.0000 | 0.226 | -0.679 | 1.683 | 0.667 | 0.294 | C | 0.204
O2+  | A | 4650.8400 | 1.257 | -0.624 | 1.683 | 0.667 | 1.000 | B | 3.581
O2+  | B | 4650.8400 | 1.296 | -0.620 | 1.683 | 0.667 | 1.000 | B | 3.671
O2+  | A | 4345.5600 | 0.633 | -0.609 | 1.683 | 0.667 | 1.000 | C | 1.766
O2+  | B | 4345.5600 | 0.792 | -0.620 | 1.683 | 0.667 | 1.000 | C | 2.244
O2+  | A | 3736.0000 | 0.047 | -0.506 | 0.624 | 0.681 | 1.000 | C | 0.153
O2+  | B | 3736.0000 | 0.255 | -0.565 | 1.683 | 0.667 | 1.000 | C | 0.669
