h_ii_aeff & Pequignot, D., Petitjean, P. and Boisson, C. Astron.Astrophys., 251, 680, 1991
he_ii_aeff & Pequignot, D., Petitjean, P. and Boisson, C. Astron.Astrophys., 251, 680, 1991
he_iii_aeff & Pequignot, D., Petitjean, P. and Boisson, C. Astron.Astrophys., 251, 680, 1991
c_ii_aeff & Pequignot, D., Petitjean, P. and Boisson, C. Astron.Astrophys., 251, 680, 1991
c_iii_aeff & Pequignot, D., Petitjean, P. and Boisson, C. Astron.Astrophys., 251, 680, 1991
c_iv_aeff & Pequignot, D., Petitjean, P. and Boisson, C. Astron.Astrophys., 251, 680, 1991
c_v_aeff & Pequignot, D., Petitjean, P. and Boisson, C. Astron.Astrophys., 251, 680, 1991
c_vii_aeff & Pequignot, D., Petitjean, P. and Boisson, C. Astron.Astrophys., 251, 680, 1991
n_ii_aeff & Pequignot, D., Petitjean, P. and Boisson, C. Astron.Astrophys., 251, 680, 1991
n_iii_aeff & Pequignot, D., Petitjean, P. and Boisson, C. Astron.Astrophys., 251, 680, 1991
n_iv_aeff & Pequignot, D., Petitjean, P. and Boisson, C. Astron.Astrophys., 251, 680, 1991
n_v_aeff & Pequignot, D., Petitjean, P. and Boisson, C. Astron.Astrophys., 251, 680, 1991
n_vi_aeff & Pequignot, D., Petitjean, P. and Boisson, C. Astron.Astrophys., 251, 680, 1991
n_viii_aeff & Pequignot, D., Petitjean, P. and Boisson, C. Astron.Astrophys., 251, 680, 1991
o_ii_aeff & Pequignot, D., Petitjean, P. and Boisson, C. Astron.Astrophys., 251, 680, 1991
o_iii_aeff & Pequignot, D., Petitjean, P. and Boisson, C. Astron.Astrophys., 251, 680, 1991
o_iv_aeff & Pequignot, D., Petitjean, P. and Boisson, C. Astron.Astrophys., 251, 680, 1991
o_v_aeff & Pequignot, D., Petitjean, P. and Boisson, C. Astron.Astrophys., 251, 680, 1991
o_vi_aeff & Pequignot, D., Petitjean, P. and Boisson, C. Astron.Astrophys., 251, 680, 1991
o_vii_aeff & Pequignot, D., Petitjean, P. and Boisson, C. Astron.Astrophys., 251, 680, 1991
o_ix_aeff & Pequignot, D., Petitjean, P. and Boisson, C. Astron.Astrophys., 251, 680, 1991
